shipment_id,warehouse_id,region_id,carrier_id,shipment_cost,delivery_status,is_fragile,shipment_date,delivery_date,package_weight_kg,declared_value_inr,payment_type,priority_level,created_ts,delivery_days
L8422,W40,R03,C08,550.66,Delivered,N,2025-12-01,2025-12-06,21.17,24052,Prepaid,Standard,2025-12-01 00:52:00,
L7591,W06,R08,C02,,Delivered,N,2025-12-01,2025-12-01,10.59,9060,Prepaid,Express,2025-12-01 00:54:00,
L9406,W24,R04,C05,1614.03,Delayed,N,2025-12-01,2025-12-03,16.37,20841,Prepaid,Express,2025-12-01 01:07:00,
L7224,W14,R08,C03,571.85,Delivered,Y,2025-12-01,2025-12-05,9.21,18395,Prepaid,Standard,2025-12-01 01:12:00,
L9873,W20,R04,C04,597.04,Delivered,N,2025-12-01,2025-12-04,10.23,613,Credit,Standard,2025-12-01 01:22:00,
L8320,W35,R01,C07,673.1,Delayed,Y,2025-12-01,2025-12-11,12.78,19401,Prepaid,Standard,2025-12-01 01:28:00,
L8860,W22,R01,C07,551.23,Delivered,N,2025-12-01,2025-12-06,15.41,7963,Credit,Express,2025-12-01 01:37:00,
L8360,W12,R04,C06,2445.37,Delivered,N,2025-12-01,2025-12-05,0.2,26613,COD,Standard,2025-12-01 01:40:00,
L7557,W08,R05,C08,820.1,Delivered,N,2025-12-01,2025-12-03,9.5,7583,Prepaid,Express,2025-12-01 01:47:00,
L8766,W09,R02,C02,795.59,Delivered,Y,2025-12-01,2025-12-03,10.63,16089,Prepaid,Standard,2025-12-01 02:07:00,
L9212,W21,R07,C08,429.95,Delivered,N,2025-12-01,2025-12-07,25.07,21035,Prepaid,Express,2025-12-01 02:16:00,
L7659,W06,R08,C10,517.95,Delivered,N,2025-12-01,2025-12-01,20.19,14305,Prepaid,Standard,2025-12-01 02:17:00,
L7070,W33,R08,C01,1067.41,Delivered,Y,2025-12-01,2025-12-01,11.48,41620,Prepaid,Standard,2025-12-01 02:17:00,
L7151,W34,R04,C03,783.47,Delivered,N,2025-12-01,2025-12-06,7.77,26089,Credit,Express,2025-12-01 02:19:00,
L8169,W03,R05,C02,553.93,Delivered,Y,2025-12-01,2025-12-06,20.08,20222,Prepaid,Standard,2025-12-01 02:35:00,
L8908,W27,R05,C12,1150.09,Delivered,N,2025-12-01,2025-12-02,10.12,15572,Prepaid,Standard,2025-12-01 03:11:00,
L8299,W18,R07,,,Delayed,N,2025-12-01,2025-12-07,7.26,11589,Prepaid,Standard,2025-12-01 03:24:00,
L9398,W02,R04,C06,1275.04,Delivered,N,2025-12-01,2025-12-03,15.38,17537,Credit,Express,2025-12-01 03:32:00,
L8392,W40,R03,C05,1491.81,Delayed,N,2025-12-01,2025-12-08,18.3,23652,Prepaid,Standard,2025-12-01 04:19:00,
L9721,W17,R08,C02,838.34,Delivered,Y,2025-12-01,2025-12-05,16.91,37167,Prepaid,Express,2025-12-01 04:32:00,
L7616,W20,R04,C13,540.01,Delivered,N,2025-12-01,2025-12-08,11.46,8299,Prepaid,Standard,2025-12-01 04:38:00,
L7155,W32,R03,C02,688.65,Delivered,Y,2025-12-01,2025-12-02,20.83,7099,Prepaid,Express,2025-12-01 04:40:00,
L9559,W22,R01,C07,610.06,Delivered,Y,2025-12-01,2025-12-05,6.26,6719,COD,Standard,2025-12-01 04:52:00,
L7248,W22,R01,C07,379.7,Delayed,N,2025-12-01,2025-12-07,14.36,13997,COD,Standard,2025-12-01 05:01:00,
L7609,W39,R06,C05,-50.0,Delayed,Y,2025-12-01,2025-12-06,17.59,23651,COD,Express,2025-12-01 05:30:00,
L9171,W35,R01,C02,823.12,Delivered,Y,2025-12-01,2025-12-06,13.02,500,Prepaid,Standard,2025-12-01 05:53:00,
L8972,W17,R08,C10,598.73,Delayed,N,2025-12-01,2025-12-06,18.14,14125,Prepaid,Standard,2025-12-01 05:59:00,
L8553,W14,R08,C04,663.26,Delayed,N,2025-12-01,2025-12-08,8.71,5432,COD,Express,2025-12-01 06:06:00,
L7185,W24,R04,C01,1369.52,Delivered,N,2025-12-01,2025-12-01,25.27,12858,Prepaid,Standard,2025-12-01 08:32:00,
L7950,W19,R04,C02,742.59,Delivered,N,2025-12-01,2025-12-05,10.67,10385,Prepaid,Express,2025-12-01 09:14:00,
L7180,W19,R04,C06,1515.65,Delivered,Y,2025-12-01,2025-12-05,4.07,17982,COD,Standard,2025-12-01 09:14:00,
L8394,W04,R07,C10,639.47,Delayed,N,2025-12-01,2025-12-06,27.28,12671,Prepaid,Express,2025-12-01 09:16:00,
L9239,W23,R03,C08,506.88,Delayed,Y,2025-12-01,2025-12-08,15.73,17444,Prepaid,Standard,2025-12-01 09:30:00,
L9416,W03,R05,C04,888.16,Delivered,N,2025-12-01,2025-12-02,8.12,20431,COD,Standard,2025-12-01 09:53:00,
L9033,W24,R04,C06,1355.41,Delayed,Y,2025-12-01,2025-12-07,15.74,15485,Prepaid,Express,2025-12-01 09:55:00,
L8514,W14,R08,C02,684.0,Delivered,Y,2025-12-01,2025-12-03,9.78,13926,Prepaid,Standard,2025-12-01 10:14:00,
